Name,Ticker,Description,Change (%),Volume (24H),Market Cap,Holders,PriceETH,PriceBTC,PriceUSD
IG,IG,"An unprecedented prediction market of based decentralization network. High centralization hinders social progress. Therefore, we hope to establish a completely decentralized Consensus Prediction System, and everyone's weight is equal.",12.8,1223718,142661,112497,0,0,0
Morpheus Infrastructure Token,MITx,"Morpheus Labs Blockchain Platform as a Service (BPaaS) simplifies and expedites your blockchain
application development and gives you the flexibility to choose between available programming
languages and blockchain runtimes that better suit your needs.",9.31,2743984,38939969,111693,2.2000000000000003e-5,2e-6,0.0894
Paxos Standard,PAX,"Paxos Standard is regulated crypto asset fully collateralized 1:1 by the U.S. dollar, approved and regulated by the NYDFS.",0.06,98581395,1171639524,109001,2.45e-4,2e-5,0.9977
NaviToken,NAVI,Naviaddress is a unified digital ID for any place and object.,18.830000000000002,8850,36869,108820,0,0,2e-4
ThingsOpreatingSystem,TOS,Decentralized layered block network Technology based on SDAG.,17.810000000000002,586002,2863087,108099,1e-6,0,0.0036
Six Domain Asset,SDA,SixDomainChain (SDChain) is a decentralized public blockchain ecosystem that integrates international standards of IoT Six-Domain Model and reference architecture standards for distributed blockchain.,-13.75,8977,2704681,105400,1e-6,0,0.0038
Crypto.com Coin,CRO,"Pay and be paid in crypto anywhere, with any crypto, for free.",7.659999999999999,123235438,4233179599,103614,4.1e-5,3e-6,0.16720000000000002
HoloToken,HOT,"Holo is a decentralized hosting platform based on Holochain, designed to be a scalable development framework for distributed applications.",11.52,281098807,2109942853,102043,3e-6,0,0.011899999999999999
Aurora,AOA,Aurora Chain offers intelligent application isolation and enables multi-chain parallel expansion to create an extremely high TPS with security maintain.,1.72,1333670,16247381,101625,1e-6,0,0.0037
XCELTOKEN PLUS,XLAB,"XcelTrip is blockchain based travel platform which is fully functional with over 800,000 hotels and 400 airlines worldwide.",16.810000000000002,97,196996,101596,0,0,0
KyberNetwork,KNC,KyberNetwork is a new system which allows the exchange and conversion of digital assets.,12.860000000000001,144525879,444110548,101264,7.86e-4,6.3e-5,3.2
CNN Token,CNN,Blockchain-based Content Ecosystem,-13.06,843467,9614202,100469,0,0,2e-4
Decentraland,MANA,"Decentraland is a virtual reality platform powered by the Ethereum blockchain. Users can create, experience, and monetize content and applications",10.15,162087631,1731618900,100284,3.19e-4,2.6000000000000002e-5,1.3
Polymath,POLY,Polymath aims to enable securities to migrate to the blockchain.,10.68,5268356,299402684,98884,8.800000000000001e-5,7e-6,0.359
ERC20,ERC20,ERC20 is an innovative NFTs Collectibles token and a new kind of DeFi crypto.,-27.9,4021,4932072,97673,1e-6,0,0.0044
PCHAIN,PAI,"Native multichain system in the world that supports Ethereum Virtual Machine (EVM), which consists of one main chain and multiple derived chains.",5.38,2808244,36904977,93874,1.1000000000000001e-5,1e-6,0.0443
Nexo,NEXO,Instant Crypto-backed Loans,12.01,9078385,2196980761,92195,9.55e-4,7.699999999999999e-5,3.8899999999999997
Yee - A Blockchain-powered & Cloud-based Socia,YEE,Blockchain-powered & cloud-based social ecosystem.,24.2,11613855,9022868,90208,1e-6,0,0.003
Credo Token,CREDO,"Credo is the token you earn when someone you don’t know sends you an unsolicited email. You can use the Credo you earn to send your own emails to people you don’t know, trade it for other currencies, or hold onto it as its power increases.",NA,8,2804917,89979,3e-6,0,0.013000000000000001
Revain,REV,Revain is a blockchain-based review platform for the crypto community. Revain's ultimate goal is to provide high-quality reviews on all global products and services using emerging technologies like blockchain and AI.,7.03,6632362,12794555,89590,6e-6,1e-6,0.026400000000000003
Fair Token,FAIR,Fair.Game is a fair game platform based on blockchain technology.,19.36,5061208,6297548,87875,2e-6,0,0.009
StatusNetwork,SNT,Status is an open source messaging platform and mobile browser to interact with decentralized applications that run on the Ethereum Network.,17.25,68061911,674074189,87403,4.3e-5,3e-6,0.1736
LoopringCoin V2,LRC,"Loopring is a DEX protocol offering orderbook-based trading infrastructure, zero-knowledge proof and an auction protocol called Oedax (Open-Ended Dutch Auction Exchange).",5.41,210759539,786615884,85053,1.54e-4,1.2e-5,0.6266
FunFair,FUN,FunFair is a decentralised gaming platform powered by Ethereum smart contracts,6.09,10370410,363027857,84685,9e-6,1e-6,0.034999999999999996
Storj,STORJ,"Blockchain-based, end-to-end encrypted, distributed object storage, where only you have access to your data",9.39,78773644,259694499,83288,4.42e-4,3.6e-5,1.8
Gene Source Code Chain,Gene,The distributed storage network blockchain system that provides genetic data and individual health data integrated interface.,NA,1,606639,83284,0,0,0.0014
Internet Node Token,INT,IOT applications,15.719999999999999,3230014,8541631,82840,4e-6,0,0.017
Jury.Online,JOT,Unique platform for secure investment in responsible ICOs.,NA,0,32855,82635,1e-6,0,0.0024000000000000002
Maker,MKR,Maker is a Decentralized Autonomous Organization that creates and insures the dai stablecoin on the Ethereum blockchain,11.92,358749106,4626757202,81839,1.254538,0.10121600000000001,5109.52
Proton Token,PTT,Data Intelligent Collaboration Network,-1.24,77021,1026327,80754,0,0,3e-4
chiliZ,CHZ,"Chiliz is the sports and fan engagement blockchain platform, that signed leading sports teams.",4.859999999999999,458381534,2336161621,80559,1.07e-4,9e-6,0.4363000000000001
Aave Token,AAVE,"Aave is an Open Source and Non-Custodial protocol to earn interest on deposits & borrow assets. It also features access to highly innovative flash loans, which let developers borrow instantly and easily; no collateral needed. With 16 different assets, 5 of which are stablecoins.",21.2,1550164017,7676905708,78473,0.14724900000000005,0.01188,599.72
BitDegree,BDG,The BitDegree platform will offer students the best online courses with a clear and transparent blockchain based reward system and achievement tracking.,-15.3,900,950345,77875,1e-6,0,0.0025
FNKOSToken,FNKOS,FNKOS is a fog computing-based blockchain operating system designed to make the best use of the edge computing resources such as idle hardware network and storage resources.,NA,53,930451,77779,1e-6,0,0.006
Synthetix Network Token,SNX,"The Synthetix Network Token (SNX) is the native token of Synthetix, a synthetic asset (Synth) issuance protocol built on Ethereum. The SNX token is used as collateral to issue Synths, ERC-20 tokens that track the price of assets like Gold, Silver, Oil and Bitcoin.",17.12,695453958,3296965025,74273,0.005308,4.28e-4,21.62
NOAHCOIN,NOAH,Aims to build an ecosystem from digital wallets to beach resorts and even entire cities - all powered by Noah Coin.,7.99,6444,1227489,73355,0,0,0
NucleusVision,nCash,"Founded at Harvard University, Nucleus Vision is an IoT-based, contactless identification system that empowers retailers to identify and better serve their customers.",25.6,2682130,19481743,72235,2e-6,0,0.0069
智投链,IIC,,0.54,650961,2629942,69717,0,0,2e-4
Salt,SALT,SALT lets you leverage your blockchain assets to secure cash loans. We make it easy to get money without having to sell your favorite investment.,5.52,91243,56788813,68270,1.5900000000000002e-4,1.3000000000000001e-5,0.6473
HeroNodeToken,HER,Hero Node is a cross-public-blockchain and cross-platform DApp development platform and solutions.,408.55,212,581598,67902,0,0,6e-4
Soma Community,SCT,SOMA brings a social trading experience to consumers while providing a robust tracking and authentication protocol for business.,NA,5,13574,66885,0,0,0.0011
Social Activity Token,SAT,Sphere Social Network is a next-generation decentralized social network powered by Social Activity Token,209.60999999999999,1,402599,65565,1e-6,0,0.0032
RED MWAT,MWAT,"RED-F is a tokenized franchise offer on the European Union energy market, that allows anyone to create and operate their own retail energy business and earn revenues.",19.51,418476,13797225,64746,7e-6,1e-6,0.0303
DENT,DENT,Aims to disrupt the mobile operator industry by creating an open marketplace for buying and selling of mobile data.,10.89,95092848,651616393,64540,2e-6,0,0.0068000000000000005
Hms Token,HMC,"HMS(Hi Mutual Society) is a blockchain project developed and operated by Qfund, the largest online crowdfunding platform in Asia. HMS intends to build up a decentralized Mutual Society using blockchain technology.",NA,152,306388,63723,0,0,8e-4
Refereum,RFR,Distribution and growth platform for games.,3.53,21813164,83929039,63721,4e-6,0,0.017300000000000003
CanYaCoin,CAN,Blockchain-Powered Marketplace of Services,-0.93,22665,7279866,63281,5.6000000000000006e-5,4e-6,0.2262
CoinFi,COFI,"CoinFi offers crowdsourced and professionally curated research, analysis, trading signals, trading algorithms, and market-moving news to give cryptocurrency traders the real-time market intelligence needed to gain an edge.",19.38,249572,2612794,63134,3e-6,0,0.0118
Compound Ether,cETH,"Compound is an open-source protocol for algorithmic, efficient Money Markets on the Ethereum blockchain.",12.28,1681184,6447731129,62942,0.020033,0.0016159999999999998,81.59
Indorse,IND,Decentralized Professional Network powered by blockchain technology,8.81,2158,1498253,62622,8e-6,1e-6,0.0335
Fuel Token,FUEL,"Etherparty™ is a contract wizard that removes the complexity of creating, managing and executing smart contracts on any compatible blockchain.",43.11,467089,1752728,62309,0,0,0.0018
Distributed Credit Chain,DCC,Distributed banking public blockchain with a goal to establish a decentralized ecosystem for financial service providers around the world.,NA,0,2212434,61299,0,0,7e-4
I HOUSE TOKEN,IHT,Real Estate Blockchain Cloud Platform.,2.42,59480,1754613,61284,0,0,0.0018
1INCH Token,1INCH,1inch is a decentralized exchange aggregator that sources liquidity from various exchanges and is capable of splitting a single trade transaction across multiple DEXs. Smart contract technology empowers this aggregator enabling users to optimize and customize their trades.,9.350000000000001,182228178,967608421,60509,0.001419,1.14e-4,5.78
MoneyToken,IMT,"MoneyToken provides crypto-backed loans, stablecoin MTC and decentralized exchange service",5.73,65694,4714847,60265,0,0,5e-4
ZeusShieldCoin,ZSC,Both blockchain and AI are adopted and integrated in the Zeusshield insurance system. Such integration leads to a green insurance ecosystem in terms of a business-to-customer based peer-to-peer (p2p) insurance market platform. The platform is open to both the insurer and insured units.,13.07,2623,907133,60063,0,0,5e-4
DATx,DATx,Blockchain-based digital advertising terminal,17.27,305960,1018127,58248,0,0,0.001
Graph Token,GRT,The Graph is an indexing protocol and global API for organizing blockchain data and making it easily accessible with GraphQL.,7.659999999999999,197088593,1650842728,57605,3.31e-4,2.7000000000000002e-5,1.35
Storiqa,STQ,crypto marketplace- Sell and buy goods with cryptocurrencies,-42.43,2,463073,57303,0,0,0
TenXPay,PAY,TenX connects your blockchain assets for everyday use. TenX’s debit card and banking licence will allow us to be a hub for the blockchain ecosystem to connect for real-world use cases.,0.6799999999999999,11524291,15456622,57151,3.2e-5,3e-6,0.1305
EduCoin,EDU,Blockchain Technology - based Global Online Education Platform,9.639999999999999,175812,2817713,56342,0,0,3e-4
OneRoot Network,RNT,Blockchain Technology Solution Provider,15.729999999999999,911494,3793919,55006,3e-6,0,0.0134
ShowHand,HAND,"Showhand is the cryptocurrency of global gaming Industry and is trying to make gambling more inclusive, fair and decentralized.",992.9399999999999,0,8782846,54305,0,0,0
KAN,KAN,A decentralized cryptocurrency-concentrated & content payment community.,5.34,2924259,33831877,54060,2e-6,0,0.0062
IXE Token,IXE,Educational project for children,NA,0,17832,53720,0,0,7e-4
ELF,ELF,"elf is a decentralized self-evolving cloud computing blockchain
network that aims to provide a high performance platform for commercial adoption of blockchain.",8.06,32353880,189686214,52311,1.01e-4,8e-6,0.41000000000000003
LON Token,LON,Tokenlon is a decentralized exchange and payment settlement protocol.,10.03,24911467,129875101,51792,0.001296,1.05e-4,5.28
RUFF,RUFF,Decentralized open source blockchain architecture for high efficiency Internet of Things application development,3.19,2690750,13700445,51732,4e-6,0,0.0145
PowerLedger,POWR,Power Ledger is a peer-to-peer marketplace for renewable energy.,3.54,10305940,185125847,51307,1.05e-4,8e-6,0.42840000000000006
Pro,PRO,Precision Ad Blockchain Based on Big Data.,NA,34,2099412,51065,1e-5,1e-6,0.042
FOTA,FOTA,Blockchain Platform for Global OTC Derivatives Market,2.8299999999999996,31,314372,50454,0,0,9e-4
WePower,WPR,Blockchain Green energy trading platform,-1.82,1860417,22796324,50390,9e-6,1e-6,0.0373
Kin,KIN,"The vision for Kin is rooted in the belief that a participants can come together to create an open ecosystem of tools for digital communication and commerce that prioritizes consumer experience, fair and user-oriented model for digital services.",15.9,7097688,213403277,49941,0,0,1e-4
Bytom,BTM,Transfer assets from atomic world to byteworld,4.54,77556043,327448451,49469,4.8e-5,4e-6,0.1946
Dentacoin,Dentacoin,Aims to be the blockchain solution for the global dental industry.,-10.219999999999999,266486,52215179,49410,0,0,1e-4
SushiToken,SUSHI,,26.110000000000003,957929769,3034774399,48717,0.004405,3.55e-4,17.939999999999998
NAGA Coin,NGC,The NAGA CARD allows you to fund with cryptos and spend your money (online/offline) all around the globe.,5.14,14283,3588109,47750,1.1000000000000001e-5,1e-6,0.0461
TrueUSD,TUSD,"A regulated, exchange-independent stablecoin backed 1-for-1 with US Dollars.",-0.46,181502819,1189766867,46801,2.45e-4,2e-5,0.9964999999999999
VeChain,VEN,Aims to connect blockchain technology to the real world by as well as advanced IoT integration.,10.42,1991052699,12320301651,46050,4.600000000000001e-5,4e-6,0.189
UBCoin,UBC,The Ubcoin is a crypto-goods p2p exchange where anyone can safely and instantly sell any good’s and become a cryptocurrency holder.,NA,0,64281,45313,0,0,2e-4
BHPCash,BHPC,"Distributed bank based on bitcoin hash power credit, offers innovative service of receiving dividend from mining and multiple derivative financial services on the basis of mining hash power.",0.8500000000000001,1978681,7583496,45150,2.04e-4,1.6000000000000003e-5,0.8306000000000001
Free Coin,FREE,Social project to promote cryptocurrency usage and increase global wealth,-2.66,929223,72095063,45143,0,0,0
Dropil,DROP,"Dropil focuses on innovative technologies for autonomous & intelligent trading, reporting and storage in the cryptocurrency world.",NA,248,142340,44857,0,0,0
Atomic Wallet Token,AWC,Immutable. Trustless. Distributed. Multi-asset custody-free Wallet with Atomic Swap exchange and decentralized orderbook. Manage your crypto assets in a way Satoshi would use.,12.29,74458,22468929,44614,5.200000000000001e-4,4.2000000000000004e-5,2.1189999999999998
OKB,OKB,Digital Asset Exchange,2.22,1468962261,9118301336,44078,0.00826,6.66e-4,33.64
DAGT Crypto Platform,DAGT,Decentralized platform which allows holders of blockchain assets to leverage their holdings as collateral for assets guarantee.,7.1,8262818,3346618,43347,3.6e-5,3e-6,0.14490000000000003
XY Oracle,XYO,Blockchain's crypto-location oracle network,16.14,580258,44498897,43266,1e-6,0,0.0053
Friendz Coin,FDZ,A digital marketing revolutionon the blockchain,-22.02,62783,1446131,43187,1e-6,0,0.0024000000000000002
Quantstamp,QSP,"QSP is an ERC-20 token used for verifying smart contracts on the decentralized QSP Security Protocol. Users can buy automated scans of smart contracts with QSP, and validators can earn QSP for helping provide decentralized security scans on the network at protocol.quantstamp.com.",9.61,892357,54529782,43040,1.9e-5,2e-6,0.0758
Binance USD,BUSD,"Binance USD (BUSD) is a dollar-backed stablecoin issued and custodied by Paxos Trust Company, and regulated by the New York State Department of Financial Services. BUSD is available directly for sale 1:1 with USD on Paxos.com and will be listed for trading on Binance.",-0.29000000000000004,9327260045,7645203950,42793,2.44e-4,2e-5,0.9952
ZTCoin,ZT,"ZBG is a global innovative tokens exchange platform, providing investors with a lithesome and rapid globalization digital asset exchange experience.",2.8299999999999996,372827,15507469,42534,8e-6,1e-6,0.0317
Aurora DAO,AURA,Aurora is a collection of Ethereum applications and protocols that together form a decentralized banking and finance platform.,7.42,1707541,62085540,42076,2.6000000000000002e-5,2e-6,0.10720000000000002
Celsius,CEL,"A new way to earn, borrow, and pay on the blockchain.!",7.930000000000001,14917850,2817965402,41905,0.0017970000000000002,1.4500000000000003e-4,7.319999999999999
IvyKoin Public Network Tokens,IVY,Ivy is a blockchain-based technology for FIAT & cryptocurrency business transactions. The Ivy network utilizes IVY tokens which carry KYC & KYT data points critical for Financial Institution validation.,NA,0,2953963,41201,2e-6,0,0.009099999999999999
Rebellious,REBL,"Rebellious is a company based in the Netherlands. Using their unique approach, they aim to build a strong currency powered by an even stronger community that’s motivated by growth rather than greed.",NA,0,37400,40884,0,0,2e-4
IOSToken,IOST,A Secure & Scalable Blockchain for Smart Services,11.58,283888888,1196614706,40762,1.3000000000000001e-5,1e-6,0.0529
MOT,MOT,"To build a decentralized, privacy-preserving ecosystem of financial products, services, and applications with unrestricted access for all.",NA,0,34641,40574,0,0,9e-4
FEGtoken,FEG,"FEG is an experimental progressive deflationary DeFi token whereby on each transcation, a tax of 1% will be distributed to the holders and a further 1% will be burnt, hence incentivising holders to hodl and decreasing the supply overtime.",19.310000000000002,23201608,945043034,40407,0,0,0
UseChain Token,USE,Mirror Identity Protocol and integrated with multi-level innovations in technology and structure design.,0.55,103,1286476,40331,0,0,3e-4
Dragon,DRGN,Dragonchain simplifies the integration of real business applications onto a blockchain.,10.65,921993,87072567,40325,5.8e-5,5e-6,0.2356
Genaro X,GNX,"The Genaro Network is the first Turing-complete public blockchain combining peer-to-peer storage with a sustainable consensus mechanism. Genaro's mixed consensus uses SPoR and PoS, ensuring stronger performance and security.",1.36,4650198,14722807,40165,1.2e-5,1e-6,0.0484
StormX,STMX,"StormX is a gamified marketplace that enables users to earn STMX ERC-20 tokens by completing micro-tasks or shopping at global partner stores online. Users can earn staking rewards, shopping, and micro-task benefits for holding STMX in their own wallet.",11.32,44374284,361671541,40103,1e-5,1e-6,0.0425
WaykiCoin,WIC,"WaykiChain aims to build the blockchain 3.0 commercial public chain, provide enterprise-level blockchain infrastructure and industry solutions, and create a new business model in the new era.",14.129999999999999,22865402,85499546,39684,1.01e-4,8e-6,0.40950000000000003
Request,REQ,"A decentralized network built on top of Ethereum, which allows anyone, anywhere to request a payment.",9.57,1910822,98236426,39014,3.1e-5,3e-6,0.1262
Bancor,BNT,Bancor is an on-chain liquidity protocol that enables constant convertibility between tokens. Conversions using Bancor are executed against on-chain liquidity pools using automated market makers to price and process transactions without order books or counterparties.,10.139999999999999,163626711,1492457729,38067,0.0018609999999999998,1.5000000000000001e-4,7.58
OriginToken,OGN,Origin Protocol is a platform for creating decentralized marketplaces on the blockchain.,16.650000000000002,147181779,296612696,37225,3.4399999999999996e-4,2.8000000000000003e-5,1.4
smartshare token,SSP,"A blockchain-based IoT ecosystem with 150,000 smart devices connected",7.51,268850,1210704,36766,0,0,3e-4
MT Token,MT,Create a New Ecosystem of Cryptocurrency Investment.,79.21000000000001,2930621,4981071,36161,1e-6,0,0.0028
Hurify Token,HUR,A Decentralized platform for IOT solution development.,1.1300000000000001,0,97771,35831,0,0,4e-4
Substratum,SUB,Substratum is an open-source network that allows anyone to allocate spare computing resources to make the internet a free and fair place for the entire world.,11.41,4541,1959526,35353,2e-6,0,0.0079
BitCapitalVendorToken,BCV,Blockchain digital asset management.,9.88,363679,2877089,35038,1e-6,0,0.0033
yearn.finance,YFI,DeFi made simple.,25.25,1225139705,2870263127,35018,9.511002999999999,0.5741480000000001,79465.001
Orchid,OXT,Orchid enables a decentralized VPN.,9.58,22815753,347639823,34809,1.44e-4,1.2e-5,0.5869
Telcoin,TEL,A cryptocurrency distributed by your mobile operator and accepted everywhere.,20.54,109715154,2451689923,34605,1.1000000000000001e-5,1e-6,0.0439
LockTrip,LOC,Hotel Booking & Vacation Rental Marketplace With 0% Commissions.,6.09,226809,150554197,34458,0.0022740000000000004,1.83e-4,9.26
Balancer,BAL,"Balancer is a n-dimensional automated market-maker that allows anyone to create or add liquidity to customizable pools and earn trading fees. Instead of the traditional constant product AMM model, Balancer’s formula is a generalization that allows any number of tokens in any weights or trading fees.",9.66,80170798,692817239,34216,0.015721,0.001268,64.03
Numeraire,NMR,NMR is the scarcity token at the core of the Erasure Protocol. NMR cannot be minted and its core use is for staking and burning. The Erasure Protocol brings negative incentives to any website on the internet by providing users with economic skin in the game and punishing bad actors.,7.37,17798512,335927287,33969,0.014405,0.001162,58.67
Silent Notary Token,SNTR,"SilentNotary is a multiplatform decentralized service for confirmation of event existence. SilentNotary converts an event into legally significant evidence, excluding the possibility of falsification.",NA,0,1249493,33963,0,0,0
BCDN,BCDN,,4.44,1217,771322,33227,1e-6,0,0.0022
ZEON,ZEON,"ZEON Wallet provides a secure application that available for all major OS. Crypto-backed loans
without checks.",8.62,1090232,154580621,33150,1e-6,0,0.0052
HuobiToken,HT,Huobi Global is a world-leading cryptocurrency financial services group.,2.98,4972042361,6022081132,32366,0.008197999999999999,6.61e-4,33.39
LibraToken,LBA,Decentralized lending infrastructure facilitating open access to credit networks on Ethereum.,6.81,953215,4131080,32317,1e-6,0,0.0061
KanadeCoin,KNDC,Token to support monozukuri.,0.12000000000000001,13,403382,31945,0,0,1e-4
Curve DAO Token,CRV,,9.6,608619709,1275042246,31508,8.810000000000001e-4,7.099999999999999e-5,3.59
Elycoin,ELY,A decentralized platform to build Ecommerce websites on the blockchain.,8.44,175844,954426,31391,2e-6,0,0.0082
Bulleon,BUL,Revolutionizing the way of Financial Transactions,-0.45,0,11049,31277,2e-6,0,0.0101
Themis Token,THM,Themis Chain is a decentralised forecasting ecosystem based on blockchain technology.,NA,0,43378,30679,0,0,0
Voyager,VGX,People-powered cryptocurrency services for the blockchain,5.05,5751993,835614821,30560,9.21e-4,7.4e-5,3.75
Ocean Token,OCEAN,"Ocean Protocol helps developers build Web3 apps to publish, exchange and consume data.",9.46,66382085,539520791,30556,3.09e-4,2.5e-5,1.26
ContentBox Token,BOX,Blockchain Infrastructure For The Digital Content Industry. Empowering a decentralized digital content ecosystem.,16.150000000000002,2860002,3115193,30382,1e-6,0,0.0033
HashCoin,HSC,"As a platform and bridge linking the physical and digital world, HashFuture aims to solve the problem of digital assets property rights issues and cross-chain asset transfer.",17.91,403088,2930142,30057,0,0,1e-4
Wrapped BTC,WBTC,"Wrapped Bitcoin (WBTC) is an ERC20 token backed 1:1 with Bitcoin.
Completely transparent. 100% verifiable. Community led.",4.83,825863202,8861299837,29471,2.38009,0.998826,50422
Worldcore,WRC,Worldcore is building a transparent business and they aim to become the industry-first company with totally different approach to ICO.,-0.33999999999999997,0,190530,29221,0,0,0.0011
MCO,MCO,"Crypto.com, the pioneering payments and cryptocurrency platform, seeks to accelerate the world’s transition to cryptocurrency.",-1.53,2786451,305605349,29204,0.004751,3.83e-4,19.3497
Cindicator,CND,Hybrid Intelligence for effective asset management.,7.98,492928,59456736,28893,8e-6,1e-6,0.0312
